Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019","1,780.78","1,770.78","1,787.97","1,760.78",5.20M
"Oct 23, 2019","1,762.17","1,761.30","1,770.05","1,742.00",2.19M
"Oct 22, 2019","1,765.73","1,788.15","1,789.78","1,762.00",2.23M
"Oct 21, 2019","1,785.66","1,769.66","1,785.88","1,765.00",2.22M
"Oct 18, 2019","1,757.51","1,787.80","1,793.98","1,749.20",3.37M
"Oct 17, 2019","1,787.48","1,796.49","1,798.85","1,782.02",2.71M
"Oct 16, 2019","1,777.43","1,773.33","1,786.24","1,770.52",2.80M
"Oct 15, 2019","1,767.38","1,742.14","1,776.45","1,740.62",3.13M
"Oct 14, 2019","1,736.43","1,728.91","1,741.89","1,722.00",1.93M
"Oct 11, 2019","1,731.92","1,742.92","1,745.45","1,729.86",3.28M
"Oct 10, 2019","1,720.26","1,725.24","1,738.29","1,713.75",2.72M
"Oct 09, 2019","1,721.99","1,719.61","1,729.95","1,714.36",2.09M
"Oct 08, 2019","1,705.51","1,722.49","1,727.00","1,705.00",2.63M
"Oct 07, 2019","1,732.66","1,731.63","1,747.83","1,723.70",2.19M
"Oct 04, 2019","1,739.65","1,726.02","1,740.58","1,719.23",2.49M
"Oct 03, 2019","1,724.42","1,713.00","1,725.00","1,685.06",3.62M
"Oct 02, 2019","1,713.23","1,727.74","1,728.89","1,705.00",3.34M
"Oct 01, 2019","1,735.65","1,746.00","1,755.60","1,728.41",3.17M
"Sep 30, 2019","1,735.91","1,726.99","1,737.46","1,709.22",2.76M
"Sep 27, 2019","1,725.45","1,748.00","1,749.12","1,713.82",3.95M
"Sep 26, 2019","1,739.84","1,762.79","1,763.37","1,731.50",3.57M
"Sep 25, 2019","1,768.33","1,747.36","1,773.00","1,723.00",3.53M
"Sep 24, 2019","1,741.61","1,790.61","1,795.70","1,735.55",4.64M
"Sep 23, 2019","1,785.30","1,777.00","1,792.70","1,767.32",3.14M
"Sep 20, 2019","1,794.16","1,821.71","1,830.63","1,780.92",5.56M
"Sep 19, 2019","1,821.50","1,821.02","1,832.57","1,817.90",2.08M
"Sep 18, 2019","1,817.46","1,817.04","1,822.06","1,795.50",2.54M
"Sep 17, 2019","1,822.55","1,807.08","1,823.99","1,804.10",2.03M
"Sep 16, 2019","1,807.84","1,824.02","1,825.69","1,800.20",3.68M
"Sep 13, 2019","1,839.34","1,842.01","1,846.12","1,835.17",1.97M
"Sep 12, 2019","1,843.55","1,837.63","1,853.66","1,834.28",2.82M
"Sep 11, 2019","1,822.99","1,812.14","1,833.42","1,809.08",2.43M
"Sep 10, 2019","1,820.55","1,822.75","1,825.81","1,805.34",2.61M
"Sep 09, 2019","1,831.35","1,841.00","1,850.00","1,824.61",3.00M
"Sep 06, 2019","1,833.51","1,838.22","1,840.65","1,826.40",2.50M
"Sep 05, 2019","1,840.72","1,821.95","1,842.00","1,815.58",3.33M
"Sep 04, 2019","1,800.62","1,805.00","1,807.63","1,796.23",2.33M
"Sep 03, 2019","1,789.84","1,770.00","1,800.80","1,768.00",3.55M
"Aug 30, 2019","1,776.29","1,797.49","1,799.74","1,764.57",3.06M
"Aug 29, 2019","1,786.40","1,783.00","1,798.55","1,777.25",3.02M
"Aug 28, 2019","1,764.25","1,755.00","1,767.86","1,744.05",2.42M
"Aug 27, 2019","1,761.83","1,775.73","1,779.40","1,746.68",3.03M
"Aug 26, 2019","1,768.87","1,766.91","1,770.00","1,743.51",3.09M
