,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,PxV,Day_Perc_Change,Trend
0,2019-10-24,1780.78,1770.78,1787.97,1760.78,5.20M,5200000,10,2019,9260056000.0,0.0,No Change
1,2019-10-23,1762.17,1761.3,1770.05,1742.0,2.19M,2190000,10,2019,3859152300.0,-0.01045047675737587,No Change
2,2019-10-22,1765.73,1788.15,1789.78,1762.0,2.23M,2230000,10,2019,3937577900.0,0.002020236413058818,No Change
3,2019-10-21,1785.66,1769.66,1785.88,1765.0,2.22M,2220000,10,2019,3964165200.0,0.011287116376796025,No Change
4,2019-10-18,1757.51,1787.8,1793.98,1749.2,3.37M,3370000,10,2019,5922808700.0,-0.015764479240168994,No Change
5,2019-10-17,1787.48,1796.49,1798.85,1782.02,2.71M,2710000,10,2019,4844070800.0,0.01705253455172384,No Change
6,2019-10-16,1777.43,1773.33,1786.24,1770.52,2.80M,2800000,10,2019,4976804000.0,-0.0056224405308030745,No Change
7,2019-10-15,1767.38,1742.14,1776.45,1740.62,3.13M,3130000,10,2019,5531899400.0,-0.005654231108960683,No Change
8,2019-10-14,1736.43,1728.91,1741.89,1722.0,1.93M,1930000,10,2019,3351309900.0,-0.017511797123425654,No Change
9,2019-10-11,1731.92,1742.92,1745.45,1729.86,3.28M,3280000,10,2019,5680697600.0,-0.0025972829310711987,No Change
10,2019-10-10,1720.26,1725.24,1738.29,1713.75,2.72M,2720000,10,2019,4679107200.0,-0.006732412582567404,No Change
11,2019-10-09,1721.99,1719.61,1729.95,1714.36,2.09M,2089999,10,2019,3598957378.01,0.001005661934823765,No Change
12,2019-10-08,1705.51,1722.49,1727.0,1705.0,2.63M,2630000,10,2019,4485491300.0,-0.00957032270802971,No Change
13,2019-10-07,1732.66,1731.63,1747.83,1723.7,2.19M,2190000,10,2019,3794525400.0,0.015918991973075558,No Change
14,2019-10-04,1739.65,1726.02,1740.58,1719.23,2.49M,2490000,10,2019,4331728500.0,0.0040342594623294925,No Change
15,2019-10-03,1724.42,1713.0,1725.0,1685.06,3.62M,3620000,10,2019,6242400400.0,-0.008754634552927354,No Change
16,2019-10-02,1713.23,1727.74,1728.89,1705.0,3.34M,3340000,10,2019,5722188200.0,-0.006489138376961523,No Change
17,2019-10-01,1735.65,1746.0,1755.6,1728.41,3.17M,3170000,10,2019,5502010500.0,0.013086392369967781,No Change
18,2019-09-30,1735.91,1726.99,1737.46,1709.22,2.76M,2760000,9,2019,4791111600.0,0.00014979978682339024,No Change
19,2019-09-27,1725.45,1748.0,1749.12,1713.82,3.95M,3950000,9,2019,6815527500.0,-0.006025658012224211,No Change
20,2019-09-26,1739.84,1762.79,1763.37,1731.5,3.57M,3570000,9,2019,6211228800.0,0.00833985337158416,No Change
21,2019-09-25,1768.33,1747.36,1773.0,1723.0,3.53M,3530000,9,2019,6242204900.0,0.016375068971859585,No Change
22,2019-09-24,1741.61,1790.61,1795.7,1735.55,4.64M,4640000,9,2019,8081070400.0,-0.01511030181018247,No Change
23,2019-09-23,1785.3,1777.0,1792.7,1767.32,3.14M,3140000,9,2019,5605842000.0,0.02508598365879844,No Change
24,2019-09-20,1794.16,1821.71,1830.63,1780.92,5.56M,5560000,9,2019,9975529600.0,0.004962751358315254,No Change
25,2019-09-19,1821.5,1821.02,1832.57,1817.9,2.08M,2080000,9,2019,3788720000.0,0.015238328800107004,No Change
26,2019-09-18,1817.46,1817.04,1822.06,1795.5,2.54M,2540000,9,2019,4616348400.0,-0.0022179522371671423,No Change
27,2019-09-17,1822.55,1807.08,1823.99,1804.1,2.03M,2029999,9,2019,3699774677.45,0.0028006118429015903,No Change
28,2019-09-16,1807.84,1824.02,1825.69,1800.2,3.68M,3680000,9,2019,6652851200.0,-0.008071109160242562,No Change
29,2019-09-13,1839.34,1842.01,1846.12,1835.17,1.97M,1970000,9,2019,3623499800.0,0.01742410832817054,No Change
30,2019-09-12,1843.55,1837.63,1853.66,1834.28,2.82M,2820000,9,2019,5198811000.0,0.0022888644839997863,No Change
31,2019-09-11,1822.99,1812.14,1833.42,1809.08,2.43M,2430000,9,2019,4429865700.0,-0.011152396192129266,No Change
32,2019-09-10,1820.55,1822.75,1825.81,1805.34,2.61M,2610000,9,2019,4751635500.0,-0.0013384604413628765,No Change
33,2019-09-09,1831.35,1841.0,1850.0,1824.61,3.00M,3000000,9,2019,5494050000.0,0.005932273214138473,No Change
34,2019-09-06,1833.51,1838.22,1840.65,1826.4,2.50M,2500000,9,2019,4583775000.0,0.0011794577770498638,No Change
